"year","variable","experiment","ensemble","model","units","value"
1980,"gpp","historical","r10i1p1f1","CESM2","kg m-2 yr-1",690584085793.618
1980,"gpp","historical","r10i1p1f1","INM-CM5-0","kg m-2 yr-1",922532850057.952
1980,"gpp","historical","r10i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",720329950304.013
1980,"gpp","historical","r10i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",873080679799.901
1980,"gpp","historical","r10i1p1f1","NorCPM1","kg m-2 yr-1",549069299083.204
1980,"gpp","historical","r10i1p1f2","CNRM-CM6-1","kg m-2 yr-1",741549394078.235
1980,"gpp","historical","r10i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",641060261568.423
1980,"gpp","historical","r11i1p1f1","CESM2","kg m-2 yr-1",711702389681.243
1980,"gpp","historical","r11i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",703805190459.194
1980,"gpp","historical","r11i1p1f1","NorCPM1","kg m-2 yr-1",557349038947.961
1980,"gpp","historical","r11i1p1f2","CNRM-CM6-1","kg m-2 yr-1",744063472165.748
1980,"gpp","historical","r12i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",698927838120.474
1980,"gpp","historical","r12i1p1f1","NorCPM1","kg m-2 yr-1",556593072483.307
1980,"gpp","historical","r12i1p1f2","CNRM-CM6-1","kg m-2 yr-1",758547212758.963
1980,"gpp","historical","r13i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",721266380476.908
1980,"gpp","historical","r13i1p1f1","NorCPM1","kg m-2 yr-1",546408236122.733
1980,"gpp","historical","r13i1p1f2","CNRM-CM6-1","kg m-2 yr-1",772772269969.248
1980,"gpp","historical","r14i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",713107094208.388
1980,"gpp","historical","r14i1p1f1","NorCPM1","kg m-2 yr-1",560184735065.055
1980,"gpp","historical","r14i1p1f2","CNRM-CM6-1","kg m-2 yr-1",751985325266.557
1980,"gpp","historical","r15i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",714306097489.241
1980,"gpp","historical","r15i1p1f1","NorCPM1","kg m-2 yr-1",543741317208.884
1980,"gpp","historical","r15i1p1f2","CNRM-CM6-1","kg m-2 yr-1",750952337021.175
1980,"gpp","historical","r16i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",718855357506.086
1980,"gpp","historical","r16i1p1f1","NorCPM1","kg m-2 yr-1",567130403361.794
1980,"gpp","historical","r16i1p1f2","CNRM-CM6-1","kg m-2 yr-1",764266294376.875
1980,"gpp","historical","r17i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",696081495648.483
1980,"gpp","historical","r17i1p1f1","NorCPM1","kg m-2 yr-1",545166146593.515
1980,"gpp","historical","r17i1p1f2","CNRM-CM6-1","kg m-2 yr-1",763234677353.908
1980,"gpp","historical","r18i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",719821641338.621
1980,"gpp","historical","r18i1p1f1","NorCPM1","kg m-2 yr-1",555823071324.903
1980,"gpp","historical","r18i1p1f2","CNRM-CM6-1","kg m-2 yr-1",757508754641.866
1980,"gpp","historical","r19i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",732662945139.76
1980,"gpp","historical","r19i1p1f1","NorCPM1","kg m-2 yr-1",543969556414.788
1980,"gpp","historical","r19i1p1f2","CNRM-CM6-1","kg m-2 yr-1",746332562648.919
1980,"gpp","historical","r1i1p1f1","ACCESS-ESM1-5","kg m-2 yr-1",760158161607.914
1980,"gpp","historical","r1i1p1f1","CESM2","kg m-2 yr-1",692013353103.229
1980,"gpp","historical","r1i1p1f1","CESM2-WACCM","kg m-2 yr-1",676282127584.908
1980,"gpp","historical","r1i1p1f1","INM-CM4-8","kg m-2 yr-1",862021054577.239
1980,"gpp","historical","r1i1p1f1","INM-CM5-0","kg m-2 yr-1",914013144926.81
1980,"gpp","historical","r1i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",709473007742.762
1980,"gpp","historical","r1i1p1f1","MPI-ESM-1-2-HAM","kg m-2 yr-1",950090969035.472
1980,"gpp","historical","r1i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",887101698392.473
1980,"gpp","historical","r1i1p1f1","NorCPM1","kg m-2 yr-1",557885472484.73
1980,"gpp","historical","r1i1p1f1","NorESM2-LM","kg m-2 yr-1",713915637512.637
1980,"gpp","historical","r1i1p1f1","NorESM2-MM","kg m-2 yr-1",679385877439.262
1980,"gpp","historical","r1i1p1f1","SAM0-UNICON","kg m-2 yr-1",807788386246.557
1980,"gpp","historical","r1i1p1f2","CNRM-CM6-1","kg m-2 yr-1",754661274620.726
1980,"gpp","historical","r1i1p1f2","CNRM-CM6-1-HR","kg m-2 yr-1",745495609573.321
1980,"gpp","historical","r1i2p1f1","MRI-ESM2-0","kg m-2 yr-1",1161319543779.36
1980,"gpp","historical","r20i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",706703330273.93
1980,"gpp","historical","r20i1p1f1","NorCPM1","kg m-2 yr-1",552491227663.151
1980,"gpp","historical","r20i1p1f2","CNRM-CM6-1","kg m-2 yr-1",758274187425.668
1980,"gpp","historical","r21i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",692303571992.652
1980,"gpp","historical","r21i1p1f1","NorCPM1","kg m-2 yr-1",544709286072.282
1980,"gpp","historical","r21i1p1f2","CNRM-CM6-1","kg m-2 yr-1",768954211778.401
1980,"gpp","historical","r22i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",711984056501.542
1980,"gpp","historical","r22i1p1f1","NorCPM1","kg m-2 yr-1",555137055413.922
1980,"gpp","historical","r22i1p1f2","CNRM-CM6-1","kg m-2 yr-1",774180437308.919
1980,"gpp","historical","r23i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",695568060429.722
