"year","variable","experiment","ensemble","model","units","value"
1980,"npp","historical","r10i1p1f1","CESM2","kg m-2 yr-1",275278294357.569
1980,"npp","historical","r10i1p1f1","INM-CM5-0","kg m-2 yr-1",440372998815.552
1980,"npp","historical","r10i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",304782517193.373
1980,"npp","historical","r10i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",439474135062.784
1980,"npp","historical","r10i1p1f1","NorCPM1","kg m-2 yr-1",202020729091.982
1980,"npp","historical","r10i1p1f2","CNRM-CM6-1","kg m-2 yr-1",174715636174.966
1980,"npp","historical","r10i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",308017806513.34
1980,"npp","historical","r11i1p1f1","CESM2","kg m-2 yr-1",290175218088.056
1980,"npp","historical","r11i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",298585496916.476
1980,"npp","historical","r11i1p1f1","NorCPM1","kg m-2 yr-1",204348996663.782
1980,"npp","historical","r11i1p1f2","CNRM-CM6-1","kg m-2 yr-1",175893449618.557
1980,"npp","historical","r12i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",295325184360.504
1980,"npp","historical","r12i1p1f1","NorCPM1","kg m-2 yr-1",210227247155.548
1980,"npp","historical","r12i1p1f2","CNRM-CM6-1","kg m-2 yr-1",178877231199.216
1980,"npp","historical","r13i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",309106411018.22
1980,"npp","historical","r13i1p1f1","NorCPM1","kg m-2 yr-1",195384842608.896
1980,"npp","historical","r13i1p1f2","CNRM-CM6-1","kg m-2 yr-1",182349303882.758
1980,"npp","historical","r14i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",302831964445.233
1980,"npp","historical","r14i1p1f1","NorCPM1","kg m-2 yr-1",195457771204.645
1980,"npp","historical","r14i1p1f2","CNRM-CM6-1","kg m-2 yr-1",177560987376.088
1980,"npp","historical","r15i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",302955970369.917
1980,"npp","historical","r15i1p1f1","NorCPM1","kg m-2 yr-1",188181264319.05
