"year","variable","experiment","ensemble","model","units","value"
1980,"rh","historical","r10i1p1f1","CESM2","kg m-2 yr-1",252285974041.416
1980,"rh","historical","r10i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",275792499705.998
1980,"rh","historical","r10i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",419401400953.399
1980,"rh","historical","r10i1p1f1","NorCPM1","kg m-2 yr-1",189983236957.886
1980,"rh","historical","r10i1p1f2","CNRM-CM6-1","kg m-2 yr-1",300900858749.559
1980,"rh","historical","r10i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",269778369494.046
1980,"rh","historical","r11i1p1f1","CESM2","kg m-2 yr-1",257951054924.091
1980,"rh","historical","r11i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",267203337963.308
1980,"rh","historical","r11i1p1f1","NorCPM1","kg m-2 yr-1",186628936939.942
1980,"rh","historical","r11i1p1f2","CNRM-CM6-1","kg m-2 yr-1",294919980792.189
1980,"rh","historical","r12i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",271196204288.141
1980,"rh","historical","r12i1p1f1","NorCPM1","kg m-2 yr-1",185374041799.003
1980,"rh","historical","r12i1p1f2","CNRM-CM6-1","kg m-2 yr-1",304972220413.647
1980,"rh","historical","r13i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",273046814837.215
1980,"rh","historical","r13i1p1f1","NorCPM1","kg m-2 yr-1",191835621188.012
1980,"rh","historical","r13i1p1f2","CNRM-CM6-1","kg m-2 yr-1",299434739729.15
1980,"rh","historical","r14i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270392171370.314
1980,"rh","historical","r14i1p1f1","NorCPM1","kg m-2 yr-1",194458344955.575
1980,"rh","historical","r14i1p1f2","CNRM-CM6-1","kg m-2 yr-1",297911938951.008
1980,"rh","historical","r15i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",274115214892.758
1980,"rh","historical","r15i1p1f1","NorCPM1","kg m-2 yr-1",194406700576.689
1980,"rh","historical","r15i1p1f2","CNRM-CM6-1","kg m-2 yr-1",295003854008.422
1980,"rh","historical","r16i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",271764474893.613
1980,"rh","historical","r16i1p1f1","NorCPM1","kg m-2 yr-1",190604031530.624
1980,"rh","historical","r16i1p1f2","CNRM-CM6-1","kg m-2 yr-1",301909882455.858
1980,"rh","historical","r17i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",272241331992.671
1980,"rh","historical","r17i1p1f1","NorCPM1","kg m-2 yr-1",187577093089.488
1980,"rh","historical","r17i1p1f2","CNRM-CM6-1","kg m-2 yr-1",299923866399.609
1980,"rh","historical","r18i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",272866071998.549
1980,"rh","historical","r18i1p1f1","NorCPM1","kg m-2 yr-1",192631532625.977
1980,"rh","historical","r18i1p1f2","CNRM-CM6-1","kg m-2 yr-1",301884180665.086
1980,"rh","historical","r19i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",273365385925.864
1980,"rh","historical","r19i1p1f1","NorCPM1","kg m-2 yr-1",189927145187.886
1980,"rh","historical","r19i1p1f2","CNRM-CM6-1","kg m-2 yr-1",301717505207.817
1980,"rh","historical","r1i1p1f1","ACCESS-ESM1-5","kg m-2 yr-1",324818471877.573
1980,"rh","historical","r1i1p1f1","CESM2","kg m-2 yr-1",256862436974.501
1980,"rh","historical","r1i1p1f1","CESM2-WACCM","kg m-2 yr-1",251221586472.077
1980,"rh","historical","r1i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270195267182.851
1980,"rh","historical","r1i1p1f1","MPI-ESM-1-2-HAM","kg m-2 yr-1",443200358480.849
1980,"rh","historical","r1i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",418649487290.162
1980,"rh","historical","r1i1p1f1","NorCPM1","kg m-2 yr-1",188512086127.285
1980,"rh","historical","r1i1p1f1","NorESM2-LM","kg m-2 yr-1",262194667068.523
1980,"rh","historical","r1i1p1f1","NorESM2-MM","kg m-2 yr-1",249218365563.738
1980,"rh","historical","r1i1p1f1","SAM0-UNICON","kg m-2 yr-1",268682302763.563
1980,"rh","historical","r1i1p1f2","CNRM-CM6-1","kg m-2 yr-1",303082608112.145
1980,"rh","historical","r1i1p1f2","CNRM-CM6-1-HR","kg m-2 yr-1",291513449059.285
1980,"rh","historical","r1i2p1f1","MRI-ESM2-0","kg m-2 yr-1",330305662864.586
1980,"rh","historical","r20i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",269774443487.33
1980,"rh","historical","r20i1p1f1","NorCPM1","kg m-2 yr-1",193385446431.517
1980,"rh","historical","r20i1p1f2","CNRM-CM6-1","kg m-2 yr-1",303442105411.14
1980,"rh","historical","r21i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",267561889710.429
1980,"rh","historical","r21i1p1f1","NorCPM1","kg m-2 yr-1",189789876199.999
1980,"rh","historical","r21i1p1f2","CNRM-CM6-1","kg m-2 yr-1",303736883367.25
1980,"rh","historical","r22i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270009292256.74
1980,"rh","historical","r22i1p1f1","NorCPM1","kg m-2 yr-1",183418998076.434
1980,"rh","historical","r22i1p1f2","CNRM-CM6-1","kg m-2 yr-1",303598700492.87
1980,"rh","historical","r23i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270636205691.885
1980,"rh","historical","r23i1p1f1","NorCPM1","kg m-2 yr-1",189939239518.975
1980,"rh","historical","r23i1p1f2","CNRM-CM6-1","kg m-2 yr-1",299223560560.835
1980,"rh","historical","r24i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270387754094.068
1980,"rh","historical","r24i1p1f1","NorCPM1","kg m-2 yr-1",191049509175.759
1980,"rh","historical","r24i1p1f2","CNRM-CM6-1","kg m-2 yr-1",299263849167.27
1980,"rh","historical","r25i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",271761453397.52
1980,"rh","historical","r25i1p1f1","NorCPM1","kg m-2 yr-1",189114692640.681
1980,"rh","historical","r25i1p1f2","CNRM-CM6-1","kg m-2 yr-1",305888077787.047
1980,"rh","historical","r26i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",273319031983.986
1980,"rh","historical","r26i1p1f1","NorCPM1","kg m-2 yr-1",188469104679.004
1980,"rh","historical","r26i1p1f2","CNRM-CM6-1","kg m-2 yr-1",299886182924.388
1980,"rh","historical","r27i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",268119997532.829
1980,"rh","historical","r27i1p1f1","NorCPM1","kg m-2 yr-1",190436076401.212
1980,"rh","historical","r27i1p1f2","CNRM-CM6-1","kg m-2 yr-1",294345020868.826
1980,"rh","historical","r28i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270230286126.34
1980,"rh","historical","r28i1p1f1","NorCPM1","kg m-2 yr-1",197544595593.546
1980,"rh","historical","r28i1p1f2","CNRM-CM6-1","kg m-2 yr-1",302556342449.347
1980,"rh","historical","r29i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270049599264.677
1980,"rh","historical","r29i1p1f1","NorCPM1","kg m-2 yr-1",194689752285.83
1980,"rh","historical","r29i1p1f2","CNRM-CM6-1","kg m-2 yr-1",305252895650.447
1980,"rh","historical","r2i1p1f1","ACCESS-ESM1-5","kg m-2 yr-1",320380580463.355
1980,"rh","historical","r2i1p1f1","CESM2","kg m-2 yr-1",252437211708.688
1980,"rh","historical","r2i1p1f1","CESM2-WACCM","kg m-2 yr-1",257370206917.547
1980,"rh","historical","r2i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",275561873201.178
1980,"rh","historical","r2i1p1f1","MPI-ESM-1-2-HAM","kg m-2 yr-1",444335017795.51
1980,"rh","historical","r2i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",415767321389.153
1980,"rh","historical","r2i1p1f1","NorCPM1","kg m-2 yr-1",193461603764.62
1980,"rh","historical","r2i1p1f1","NorESM2-LM","kg m-2 yr-1",258510417238.002
1980,"rh","historical","r2i1p1f2","CNRM-CM6-1","kg m-2 yr-1",296756107502.337
1980,"rh","historical","r2i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",264665388149.237
1980,"rh","historical","r30i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",270141383317.582
1980,"rh","historical","r30i1p1f1","NorCPM1","kg m-2 yr-1",192456634579.33
1980,"rh","historical","r30i1p1f2","CNRM-CM6-1","kg m-2 yr-1",298571051787.028
1980,"rh","historical","r31i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",273092201534.658
1980,"rh","historical","r32i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",277410886633.839
1980,"rh","historical","r3i1p1f1","ACCESS-ESM1-5","kg m-2 yr-1",324754618317.936
1980,"rh","historical","r3i1p1f1","CESM2","kg m-2 yr-1",262458128550.496
1980,"rh","historical","r3i1p1f1","CESM2-WACCM","kg m-2 yr-1",256761852438.703
1980,"rh","historical","r3i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",272474934356.307
1980,"rh","historical","r3i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",413541147433.162
1980,"rh","historical","r3i1p1f1","NorCPM1","kg m-2 yr-1",193656218241.594
1980,"rh","historical","r3i1p1f1","NorESM2-LM","kg m-2 yr-1",265187884717.952
1980,"rh","historical","r3i1p1f2","CNRM-CM6-1","kg m-2 yr-1",301589648345.413
1980,"rh","historical","r3i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",270792222638.12
1980,"rh","historical","r4i1p1f1","CESM2","kg m-2 yr-1",260362076686.032
1980,"rh","historical","r4i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",271798222501.354
1980,"rh","historical","r4i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",413200430209.332
1980,"rh","historical","r4i1p1f1","NorCPM1","kg m-2 yr-1",186935792607.828
1980,"rh","historical","r4i1p1f2","CNRM-CM6-1","kg m-2 yr-1",295849991939.253
1980,"rh","historical","r4i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",266141750984.932
1980,"rh","historical","r5i1p1f1","CESM2","kg m-2 yr-1",254498831960.221
1980,"rh","historical","r5i1p1f1","IPSL-CM6A-LR","kg m-2 yr-1",271877193533.007
1980,"rh","historical","r5i1p1f1","MPI-ESM1-2-LR","kg m-2 yr-1",401320298304.147
1980,"rh","historical","r5i1p1f1","NorCPM1","kg m-2 yr-1",185200575930.861
1980,"rh","historical","r5i1p1f2","CNRM-CM6-1","kg m-2 yr-1",303533561786.245
1980,"rh","historical","r5i1p1f2","CNRM-ESM2-1","kg m-2 yr-1",262605771470.92
1980,"rh","historical","r6i1p1f1","CESM2","kg m-2 yr-1",255854397908.774
